Target No.,Receptor,Group,Group_AB,Protein,AFS,PS,SS,Coverage,TPS,Rank,In_shortlist,Exclusion_reason,BS_flag
12,PD-L1 / CD274,3,A,SDCBP,0.5426064402613892,0.0945454545454544,,2/3,0.3185759474034217,111,True,,Medium
19,IGF1R,6,B,GAPDH,0.2039582446868448,0.1503030303030303,0.6,3/3,0.3180870916632916,112,True,,Medium
3,EpCAM / EPCAM,9,B,EEF1A1,0.3080534614787121,0.3272727272727272,,2/3,0.3176630943757196,113,True,,Medium
8,GLUT5 / SLC2A5,6,B,GAPDH,0.3373380541836496,0.0993939393939393,0.494,3/3,0.3102439978591963,114,True,,Medium
15,MET / c-MET,10,B,ENO1,0.3689381590341895,0.2472727272727273,,2/3,0.3081054431534584,115,True,,Medium
11,LIV-1 / SLC39A6,1,A,SLC3A2,0.3437435830990298,0.2666666666666666,,2/3,0.3052051248828482,116,True,,High
17,RON / MST1R,7,B,ALDOA,0.3713996138006014,0.2375757575757575,,2/3,0.3044876856881794,117,True,,Low
10,GPNMB,10,B,TKT,0.2613962405627151,0.3466666666666667,,2/3,0.3040314536146909,118,True,,Low
15,MET / c-MET,9,B,ALDOA,0.3686286413495898,0.2375757575757575,,2/3,0.3031021994626736,119,True,,Low
5,ICAM1 / CD54,6,B,GAPDH,0.23382621512161,0.0048484848484848,0.663,3/3,0.3005582333233649,120,True,,Medium
2,EGFR,2,A,LGALS3BP,0.239182237585114,0.155151515151515,0.5,3/3,0.2981112509122097,121,True,,High
4,Tissue Factor / F3,9,B,TPI1,0.3752600564090075,0.2157575757575757,,2/3,0.2955088160832916,122,True,,Low
3,EpCAM / EPCAM,7,B,ALDOA,0.3232887404359847,0.2666666666666666,,2/3,0.2949777035513256,123,True,,Low
14,AXL,6,B,GAPDH,0.2141847879865379,0.1987878787878788,0.471,3/3,0.2946575555914722,124,True,,Medium
12,PD-L1 / CD274,8,B,LDHA,0.306474684252126,0.1624242424242424,0.407,3/3,0.2919663088921228,125,True,,Low
19,IGF1R,10,B,TPI1,0.3232417315578263,0.2593939393939394,,2/3,0.2913178354758828,126,True,,Low
20,CXCR4,2,A,LGALS3BP,0.3506383804062946,0.2278787878787879,,2/3,0.2892585841425412,127,True,,High
4,Tissue Factor / F3,4,A,MFGE8,0.3089630857568102,0.269090909090909,,2/3,0.2890269974238596,128,True,,High
11,LIV-1 / SLC39A6,3,A,ANXA2,0.2125188318219123,0.3587878787878787,,2/3,0.2856533553048955,129,True,,Medium
8,GLUT5 / SLC2A5,9,B,PGK1,0.3392050377403562,0.2303030303030302,,2/3,0.2847540340216932,130,True,,Low
8,GLUT5 / SLC2A5,1,A,SLC3A2,0.4283160133055467,0.1406060606060607,,2/3,0.2844610369558037,131,True,,High
9,TEM8 / ANTXR1,7,B,LDHA,0.3713363642778748,0.1842424242424242,,2/3,0.2777893942601495,132,True,,Low
12,PD-L1 / CD274,1,A,LGALS3BP,0.3178485901656203,0.2351515151515152,,2/3,0.2765000526585677,133,True,,High
12,PD-L1 / CD274,5,A,MFGE8,0.3795158471555598,0.1721212121212121,,2/3,0.2758185296383859,134,True,,High
17,RON / MST1R,1,A,FN1,0.2742970672343153,,,1/3,0.2742970672343153,135,False,coverage 1/3 (AFS-only) < 2/3 threshold,High
12,PD-L1 / CD274,2,A,ANXA2,0.4587847056479197,0.0848484848484848,,2/3,0.2718165952482022,136,True,,Medium
15,MET / c-MET,3,A,ANXA2,0.3613250006799563,0.1818181818181817,,2/3,0.271571591249069,137,True,,Medium
19,IGF1R,5,A,LGALS3BP,0.2053108367834824,0.3369696969696969,,2/3,0.2711402668765896,138,True,,High
14,AXL,2,A,ITGB1,0.2909726923898724,0.2448484848484848,,2/3,0.2679105886191786,139,True,,High
11,LIV-1 / SLC39A6,9,B,ALDOA,0.267394007460381,,,1/3,0.267394007460381,140,False,coverage 1/3 (AFS-only) < 2/3 threshold,Low
14,AXL,9,B,TPI1,0.2551612841813411,0.2763636363636363,,2/3,0.2657624602724887,141,True,,Low
9,TEM8 / ANTXR1,6,B,GAPDH,0.3017078844484792,0.2254545454545454,,2/3,0.2635812149515123,142,True,,Medium
20,CXCR4,4,A,MFGE8,0.2539664733021068,0.2715151515151515,,2/3,0.2627408124086292,143,True,,High
19,IGF1R,8,B,LDHA,0.2224198552497216,0.303030303030303,,2/3,0.2627250791400123,144,True,,Low
5,ICAM1 / CD54,2,A,ITGA6,0.2743495143535716,0.0824242424242424,0.426,3/3,0.2609245855926047,145,True,,High
14,AXL,8,B,LDHA,0.2312875453132982,0.286060606060606,,2/3,0.2586740756869521,146,True,,Low
17,RON / MST1R,6,B,GAPDH,0.3718167809679071,0.1454545454545454,,2/3,0.2586356632112263,147,True,,Medium
5,ICAM1 / CD54,10,B,TKT,0.4946265133625699,0.0,,2/3,0.2473132566812849,148,True,,Low
10,GPNMB,1,A,LGALS3BP,0.2504265952905417,0.24,,2/3,0.2452132976452708,149,True,,High
17,RON / MST1R,3,A,ANXA2,0.3534385931307151,0.1333333333333333,,2/3,0.2433859632320242,150,True,,Medium
