Target No.,Receptor,Group,Protein,top10_freq,top20_freq,median_rank,rank_min,rank_max,rank_range
10,GPNMB,9,ENO1,0.0,0.0,97,82,119,37
13,CD44,10,PKM,0.0,0.0,98,58,175,117
16,ROR1,3,ANXA2,0.0,0.0,98,66,113,47
4,Tissue Factor / F3,4,MFGE8,0.0,0.0,100,83,131,48
20,CXCR4,9,ALDOA,0.0,0.0,100,85,148,63
20,CXCR4,10,ENO1,0.0,0.0,100,79,153,74
8,GLUT5 / SLC2A5,8,ALDOA,0.0,0.0,103,82,143,61
13,CD44,1,FN1,0.0,0.0,103,29,162,133
5,ICAM1 / CD54,7,LDHA,0.0,0.0,104,49,152,103
11,LIV-1 / SLC39A6,1,SLC3A2,0.0,0.0,104,41,182,141
11,LIV-1 / SLC39A6,10,PKM,0.0,0.0,106,52,180,128
9,TEM8 / ANTXR1,10,ALDOA,0.0,0.0,107,73,198,125
4,Tissue Factor / F3,5,LGALS3BP,0.0,0.0,108,90,155,65
14,AXL,2,ITGB1,0.0,0.0,114,57,143,86
5,ICAM1 / CD54,8,ENO1,0.0,0.0,115,52,186,134
16,ROR1,9,PGK1,0.0,0.0,115,90,163,73
16,ROR1,4,LGALS3BP,0.0,0.0,116,97,160,63
16,ROR1,6,GAPDH,0.0,0.0,117,106,145,39
2,EGFR,8,PKM,0.0,0.0,118,79,162,83
5,ICAM1 / CD54,2,ITGA6,0.0,0.0,118,92,166,74
17,RON / MST1R,1,FN1,0.0,0.0,118,39,161,122
20,CXCR4,1,FN1,0.0,0.0,118,33,166,133
5,ICAM1 / CD54,9,PKM,0.0,0.0,119,75,188,113
2,EGFR,1,ANXA2,0.0,0.0,120,92,169,77
3,EpCAM / EPCAM,3,SDCBP,0.0,0.0,120,91,181,90
4,Tissue Factor / F3,1,FN1,0.0,0.0,122,35,174,139
19,IGF1R,2,ITGB1,0.0,0.0,122,56,152,96
16,ROR1,2,ITGB1,0.0,0.0,123,102,166,64
16,ROR1,8,PKM,0.0,0.0,123,88,176,88
17,RON / MST1R,2,ITGB1,0.0,0.0,124,111,151,40
4,Tissue Factor / F3,2,THBS1,0.0,0.0,126,85,158,73
15,MET / c-MET,2,ITGB1,0.0,0.0,127,110,167,57
2,EGFR,10,PGK1,0.0,0.0,128,90,180,90
10,GPNMB,10,TKT,0.0,0.0,128,82,197,115
2,EGFR,6,GAPDH,0.0,0.0,129,69,183,114
10,GPNMB,4,MFGE8,0.0,0.0,130,109,168,59
2,EGFR,5,SDCBP,0.0,0.0,131,109,154,45
3,EpCAM / EPCAM,4,FN1,0.0,0.0,131,38,178,140
13,CD44,3,MFGE8,0.0,0.0,133,90,168,78
14,AXL,9,TPI1,0.0,0.0,134,104,172,68
16,ROR1,7,LDHA,0.0,0.0,135,114,182,68
10,GPNMB,5,ANXA2,0.0,0.0,137,119,172,53
19,IGF1R,3,ANXA2,0.0,0.0,140,105,163,58
11,LIV-1 / SLC39A6,7,LDHA,0.0,0.0,142,78,186,108
1,TROP2 / TACSTD2,5,MFGE8,0.0,0.0,143,105,168,63
18,CSPG4,1,FN1,0.0,0.0,143,40,182,142
14,AXL,7,PGK1,0.0,0.0,144,118,187,69
5,ICAM1 / CD54,6,GAPDH,0.0,0.0,145,72,198,126
18,CSPG4,6,GAPDH,0.0,0.0,145,56,178,122
20,CXCR4,4,MFGE8,0.0,0.0,145,107,179,72
10,GPNMB,1,LGALS3BP,0.0,0.0,146,132,166,34
19,IGF1R,7,ENO1,0.0,0.0,146,111,165,54
2,EGFR,2,LGALS3BP,0.0,0.0,147,122,162,40
2,EGFR,4,MFGE8,0.0,0.0,148,116,181,65
14,AXL,5,LGALS3BP,0.0,0.0,148,131,168,37
13,CD44,2,ITGB1,0.0,0.0,149,117,183,66
15,MET / c-MET,1,FN1,0.0,0.0,149,55,174,119
19,IGF1R,1,FN1,0.0,0.0,150,49,177,128
10,GPNMB,8,ALDOA,0.0,0.0,151,119,192,73
5,ICAM1 / CD54,1,ITGB1,0.0,0.0,153,108,178,70
14,AXL,8,LDHA,0.0,0.0,154,111,195,84
14,AXL,4,MFGE8,0.0,0.0,155,126,180,54
18,CSPG4,7,LDHA,0.0,0.0,155,69,183,114
9,TEM8 / ANTXR1,1,FN1,0.0,0.0,157,46,183,137
11,LIV-1 / SLC39A6,4,LGALS3BP,0.0,0.0,157,102,188,86
19,IGF1R,8,LDHA,0.0,0.0,157,127,178,51
14,AXL,10,ALDOA,0.0,0.0,158,112,198,86
10,GPNMB,7,PGK1,0.0,0.0,159,128,193,65
19,IGF1R,4,MFGE8,0.0,0.0,159,142,178,36
1,TROP2 / TACSTD2,4,FN1,0.0,0.0,160,48,185,137
7,MUC1,6,GAPDH,0.0,0.0,160,38,189,151
11,LIV-1 / SLC39A6,9,ALDOA,0.0,0.0,161,93,190,97
18,CSPG4,2,THBS1,0.0,0.0,162,63,176,113
18,CSPG4,10,ALDOA,0.0,0.0,162,82,183,101
5,ICAM1 / CD54,5,THBS1,0.0,0.0,163,127,182,55
16,ROR1,10,TPI1,0.0,0.0,164,144,184,40
18,CSPG4,5,LGALS3BP,0.0,0.0,164,61,181,120
18,CSPG4,8,PGK1,0.0,0.0,169,83,191,108
11,LIV-1 / SLC39A6,8,PGK1,0.0,0.0,170,91,196,105
14,AXL,6,GAPDH,0.0,0.0,171,117,200,83
3,EpCAM / EPCAM,5,CD44,0.0,0.0,172,34,199,165
19,IGF1R,5,LGALS3BP,0.0,0.0,173,131,181,50
10,GPNMB,6,GAPDH,0.0,0.0,174,127,200,73
19,IGF1R,6,GAPDH,0.0,0.0,175,137,195,58
12,PD-L1 / CD274,4,FN1,0.0,0.0,176,90,193,103
18,CSPG4,9,PKM,0.0,0.0,176,107,191,84
10,GPNMB,3,THBS1,0.0,0.0,179,152,192,40
14,AXL,1,FN1,0.0,0.0,179,68,193,125
10,GPNMB,2,FN1,0.0,0.0,180,62,188,126
18,CSPG4,3,MFGE8,0.0,0.0,180,91,194,103
18,CSPG4,4,ITGB1,0.0,0.0,180,105,189,84
19,IGF1R,9,PGK1,0.0,0.0,181,159,196,37
11,LIV-1 / SLC39A6,6,GAPDH,0.0,0.0,184,114,198,84
16,ROR1,1,FN1,0.0,0.0,185,95,195,100
7,MUC1,3,FN1,0.0,0.0,186,57,195,138
