pdb_file,pdbqt_file,status,error
RDX_P35241.pdb,ExoCarta_PDBQT_Files\RDX_P35241.pdbqt,SUCCESS,
RHOA_P61586.pdb,ExoCarta_PDBQT_Files\RHOA_P61586.pdbqt,SUCCESS,
SDCBP_O00560.pdb,ExoCarta_PDBQT_Files\SDCBP_O00560.pdbqt,SUCCESS,
SLC16A1_P53985.pdb,ExoCarta_PDBQT_Files\SLC16A1_P53985.pdbqt,SUCCESS,
SLC3A2_P08195.pdb,ExoCarta_PDBQT_Files\SLC3A2_P08195.pdbqt,SUCCESS,
TCP1_P17987.pdb,ExoCarta_PDBQT_Files\TCP1_P17987.pdbqt,SUCCESS,
TFRC_P02786.pdb,ExoCarta_PDBQT_Files\TFRC_P02786.pdbqt,SUCCESS,
THBS1_P07996.pdb,ExoCarta_PDBQT_Files\THBS1_P07996.pdbqt,SUCCESS,
TKT_Q16832.pdb,ExoCarta_PDBQT_Files\TKT_Q16832.pdbqt,SUCCESS,
TPI1_P60174.pdb,ExoCarta_PDBQT_Files\TPI1_P60174.pdbqt,SUCCESS,
TSG101_Q99816.pdb,ExoCarta_PDBQT_Files\TSG101_Q99816.pdbqt,SUCCESS,
TUBA1C_Q9BQE3.pdb,ExoCarta_PDBQT_Files\TUBA1C_Q9BQE3.pdbqt,SUCCESS,
TUBB4B_P68371.pdb,ExoCarta_PDBQT_Files\TUBB4B_P68371.pdbqt,SUCCESS,
UBA1_P22314.pdb,ExoCarta_PDBQT_Files\UBA1_P22314.pdbqt,SUCCESS,
VCP_P55072.pdb,ExoCarta_PDBQT_Files\VCP_P55072.pdbqt,SUCCESS,
YWHAB_P31946.pdb,ExoCarta_PDBQT_Files\YWHAB_P31946.pdbqt,SUCCESS,
YWHAE_P62258.pdb,ExoCarta_PDBQT_Files\YWHAE_P62258.pdbqt,SUCCESS,
YWHAG_P61981.pdb,ExoCarta_PDBQT_Files\YWHAG_P61981.pdbqt,SUCCESS,
YWHAQ_P27348.pdb,ExoCarta_PDBQT_Files\YWHAQ_P27348.pdbqt,SUCCESS,
YWHAZ_P63104.pdb,ExoCarta_PDBQT_Files\YWHAZ_P63104.pdbqt,SUCCESS,
