Target No.,Protein,equal_.33/.33/.33,0.50/0.30/0.20,0.50/0.20/0.30,0.40/0.35/0.25,0.40/0.30/0.30
9,LDHA,0.27778939426014954,0.3011761367645808,0.31788095283917467,0.28402585892799787,0.29115324711982454
9,PKM,0.23682341842913346,0.2796656366727804,0.3102672211325283,0.24824800996077268,0.26130468599693174
9,TPI1,0.21253531690480845,0.23415399461585903,0.24959590726660946,0.21830029762775527,0.22488884702540882
9,ALDOA,0.239112072175442,0.24676887809809037,0.2522380251856964,0.24115388708814822,0.24348738984552679
10,LGALS3BP,0.2452132976452708,0.24651662205658856,0.24744756806467263,0.24556085082162224,0.24595805445173816
10,FN1,0.1831910782942121,0.1831910782942121,0.1831910782942121,0.18319107829421208,0.18319107829421208
10,THBS1,0.5991442301598117,0.49893028769976455,0.4273489002283024,0.5724205121704657,0.541879120182642
10,MFGE8,0.20557004740970747,0.22120498350455864,0.2323727950008809,0.2097393637016678,0.21450429660676532
10,ANXA2,0.3221409008639109,0.3057064291101917,0.293967520714678,0.3177583750629191,0.31274977414749994
10,GAPDH,0.1940850408916056,0.19836387687208273,0.2014201882867093,0.19522606381973284,0.19653009002330685
10,PGK1,0.1494700728833208,0.17108001534657524,0.18651568853461414,0.15523272420685533,0.16181861143375192
10,ALDOA,0.1441604996460065,0.1668672912241748,0.1830864280657236,0.15021564406685137,0.15713580911924555
10,ENO1,0.23087300783885226,0.2485912597985654,0.2612471540555033,0.23559787502810914,0.24099772324440266
10,TKT,0.3040314536146909,0.2933726503516969,0.2857592194495584,0.3011891060778925,0.2979407088929801
11,SLC3A2,0.30520512488284823,0.3148397394368936,0.32172160697549745,0.3077743554305936,0.3107106189137313
11,BSG,0.14885880097374452,0.15455834970202909,0.15862945593651812,0.1503786806346204,0.15211568596133573
11,ANXA2,0.2856533553048955,0.2673697244341497,0.25430998809790273,0.28077772040602994,0.2752055662358979
11,LGALS3BP,0.20401896225617466,0.21744794524446073,0.2270400759503794,0.20760002438638425,0.21169266682090956
11,SDCBP,0.23268510569679723,0.20903820030281475,0.19214755359282729,0.22637926425840194,0.2191725883288073
11,GAPDH,0.22514836702204274,0.2274960648381595,0.22917299184967152,0.22577441977300725,0.22648990863125235
